観光地の公衆トイレ一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ｎｏ,名称,市町村名,住所,利用時間,駐車場台数,,形式,便器数,,,,,,,,,,多目的（障害者用）トイレ,,,,,,,,,,設　　　備,,,,,,,近隣の観光スポット,特記事項,,,,,,,,,,,,,
,,,,,一般,障害者用,,男性用,,,女性用,,兼用,,子供用,,うちｳｫｼｭﾚｯﾄ,手すり,段差解消,レバー,非常ボタン,ドア形態,"内部ｽﾍﾟｰｽ
ｍ×ｍ",移乗方向,ｳｫｼｭﾚｯﾄ,介護ベッド,オストメイト,蛇口,温風乾燥機,休憩スペース,荷物台・棚,フック,乳幼児イス,乳幼児ベッド,,,,,,,,,,,,,,,
57,温山荘公園(西側)公衆トイレ,海南市,海南市船尾396,"10：00
16：00",20,,水洗式,,2,3,,5,,,,,,○,○,足踏式,○,引き戸式,1.5×2.4,前方から,,,,手動式,,○,,,,,温山荘公園、黒江街道,温山荘園は大正時代に造園された関西有数の規模を誇る日本庭園です。また、紀州漆器の町、黒江も歩いてすぐの距離にあります。,,,,,,,,,,,,,
58,温山荘公園(東側)公衆トイレ,海南市,海南市船尾396,終日,20,,汲み取り式,,1,2,1,1,,,,,,,,,,,,,,,,手動式,,○,,,,,,,,,,,,,,,,,,,
59,JR海南駅公衆トイレ,海南市,海南市名高51-2,終日,85,1,水洗式,,2,3,,4,,,,,,○,○,押ボタン式,○,引き戸式,2.1×2.3,向かって左から,,,,光感知式,,○,○,,,○,,駅構内の「海南市物産観光センター」でレンタサイクルの貸し出しを行っています。,,,,,,,,,,,,,
60,藤白塔下王子跡公衆トイレ,海南市,海南市下津町橘本1614-3,終日,,,水洗式,,1,2,,2,,,,,,○,○,くつべら式,○,引き戸式,1.8×2.1,前方から,,,,手動式,,○,,,,,熊野古道御所の芝,「御所の芝」は和歌浦を一望できる絶景スポットです。,,,,,,,,,,,,,
61,長保寺,海南市,海南市下津町上689,終日,20,,水洗式,,1,3,,3,,,,,,,,,,,,,,,,手動式,,○,○,,,,長保寺,紀州徳川家の菩提寺で、本堂・多宝塔・大門の3つが国宝に指定されています。,,,,,,,,,,,,,
62,善福院,海南市,海南市下津町梅田270,終日,15,,水洗式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,○,,,,,善福院,国宝である釈迦堂をはじめ、多数の文化財を有しています。,,,,,,,,,,,,,
63,春日神社,海南市,海南市大野中1056,終日,60,,汲み取り式,1,,2,2,,,,,,3,○,○,くつべら式,○,引き戸式,2.0×2.5,向かって左から,○,,,手動式,,○,,,,,春日神社,紀伊国神名帳に「正一位春日大神」と位置づけられている格式の高い神社です。,,,,,,,,,,,,,
64,　　〃,　　〃,　　〃,　　〃,　　〃,,汲み取り式,,,,,,,,,,,○,○,くつべら式,○,引き戸式,2.0×2.5,向かって右から,○,,,手動式,,○,,,,,,,,,,,,,,,,,,,
65,所坂王子跡公衆トイレ,海南市,海南市橘本779,終日,8,,水洗式,,,1,,,1,1,,,,,,,,,,,,,,手動式,,,○,,,,橘本神社,橘本神社は全国的にも珍しいみかんとお菓子の神社です。,,,,,,,,,,,,,
66,小川宮前公衆トイレ,紀美野町,紀美野町奥佐々21番地2,終日,3,,汲み取り式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,"小川八幡神社
生石高原",,,,,,,,,,,,,,
67,紀美野町のかみふれあい公園公衆トイレ,紀美野町,紀美野町西野971-1,"9：00
17：00",148,4,水洗式,1,1,3,1,3,,,,,,○,○,くつべら式,○,外開き式,2.0×2.0,前方・右から,,,,光感知式,,,,,,○,"紀美野町のかみふれあい公園
和歌山県動物愛護センター",,,,,,,,,,,,,,
68,生石高原童謡公衆トイレ,紀美野町,紀美野町中田899-29,終日,37,1,水洗式,1,1,3,2,3,,,,,,○,○,くつべら式,○,引き戸式,2.1×1.8,前方・右から,○,,,光感知式,,,,,,○,生石高原,,,,,,,,,,,,,,
69,紀美野町役場,紀美野町,紀美野町動木287,"平日
8：30
17：15",91,4,水洗式,,2,3,,3,1,,,,,○,○,くつべら式,○,引き戸式,1.8×2.0,前方から,,,,光感知式,,,,,,,"紀美野町のかみふれあい公園
和歌山県動物愛護センター
生石高原",,,,,,,,,,,,,,
70,紀美野町総合福祉センター,紀美野町,紀美野町下佐々1408-4,"平日
8：30
17：15",80,5,水洗式,1,1,3,2,2,,,,,,○,○,くつべら式,○,引き戸式,2.0×1.9,前方・右・左から,○,,,光感知式,○,,,,○,○,"紀美野町のかみふれあい公園
和歌山県動物愛護センター
生石高原",,,,,,,,,,,,,,
71,十三神社公衆トイレ,紀美野町,紀美野町野中63-1,終日,,,汲み取り式,,,1,,,,2,,,,,,,,,,,,,,手動式,,,,,,,生石高原,,,,,,,,,,,,,,
